duplicate_group_id,match_evidence,sample_id_a,dataset_id_a,group_id_a,disease_id_a,include_after_a,sample_id_b,dataset_id_b,group_id_b,disease_id_b,include_after_b,image_sha256_equal,perceptual_hamming_distance,cross_dataset,cross_source_group,label_agreement,requires_review
DUPLICATE_f99670a27bca538fbc56,perceptual,FITZPATRICK17K_C_bf836d1420aecd9f0c1965ab4013326a,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_bf836d1420aecd9f0c1965ab4013326a,,False,DERMNET_KAGGLE_3a21d346b55ef8d8ff42,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_3a21d346b55ef8d8ff42,,False,False,0,True,True,False,True
DUPLICATE_1d8530616cf164ade67d,perceptual,FITZPATRICK17K_C_c3869978c75ac62436fcca2558cc92c8,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_c3869978c75ac62436fcca2558cc92c8,,False,DERMNET_KAGGLE_efcc35923d68f225423a,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_efcc35923d68f225423a,,False,False,2,True,True,False,True
DUPLICATE_8c41710747084071674f,perceptual,FITZPATRICK17K_C_5f27667f0e202569d669ac4c85dc8bd6,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_5f27667f0e202569d669ac4c85dc8bd6,,False,DERMNET_KAGGLE_b6617200dd9f57c2837c,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_b6617200dd9f57c2837c,,False,False,2,True,True,False,True
DUPLICATE_eb59bbb56bb840de18b0,perceptual,FITZPATRICK17K_C_400952a9071613dd72b0f45b7aa6a5f0,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_400952a9071613dd72b0f45b7aa6a5f0,,False,DERMNET_KAGGLE_3dfc129e497c49a7cf90,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_3dfc129e497c49a7cf90,,False,False,2,True,True,False,True
DUPLICATE_93ae10562d4bcf2138d1,perceptual,FITZPATRICK17K_C_8e21168f3d44ee056ac13d0a4c6e3edf,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_8e21168f3d44ee056ac13d0a4c6e3edf,,False,DERMNET_KAGGLE_1b5bbc376ea22f66d5a0,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_1b5bbc376ea22f66d5a0,,False,False,2,True,True,False,True
DUPLICATE_959f96d3fc0ad95f0263,perceptual,FITZPATRICK17K_C_aba082609e966daf665ccfbb264c226f,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_aba082609e966daf665ccfbb264c226f,D005,True,DERMNET_KAGGLE_b4edef7d3233e02272a1,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_b4edef7d3233e02272a1,,False,False,0,True,True,False,True
DUPLICATE_4a36d219e33590fd7f7a,perceptual,FITZPATRICK17K_C_b2b71e51c59a09c17fe1ec31d4c709ab,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_b2b71e51c59a09c17fe1ec31d4c709ab,,False,DERMNET_KAGGLE_df1fab50edc4ad0ce4e8,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_df1fab50edc4ad0ce4e8,,False,False,0,True,True,False,True
DUPLICATE_d5163ddc5ba13eb0d92b,perceptual,FITZPATRICK17K_C_5e44d665d68cca052a33dca12ad2bf29,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_5e44d665d68cca052a33dca12ad2bf29,,False,DERMNET_KAGGLE_ecbe75af02610260aa25,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_ecbe75af02610260aa25,,False,False,0,True,True,False,True
DUPLICATE_3b6ea9499218f6335632,perceptual,FITZPATRICK17K_C_d17f300c1091f9994a384f520ecc4dde,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_d17f300c1091f9994a384f520ecc4dde,,False,FITZPATRICK17K_C_ee12dbf9122bf31318607ef0d3759991,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_ee12dbf9122bf31318607ef0d3759991,,False,False,2,False,True,False,True
DUPLICATE_3b6ea9499218f6335632,perceptual,FITZPATRICK17K_C_d17f300c1091f9994a384f520ecc4dde,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_d17f300c1091f9994a384f520ecc4dde,,False,DERMNET_KAGGLE_fde9ba40ec045a91e9e4,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_fde9ba40ec045a91e9e4,,False,False,2,True,True,False,True
DUPLICATE_3b6ea9499218f6335632,perceptual,FITZPATRICK17K_C_d17f300c1091f9994a384f520ecc4dde,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_d17f300c1091f9994a384f520ecc4dde,,False,DERMNET_KAGGLE_61835666ad3c6b810185,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_61835666ad3c6b810185,,False,False,2,True,True,False,True
DUPLICATE_1eb610ca95e1bc2f9100,perceptual,FITZPATRICK17K_C_763bec8f103de2ce2d39da5cea02c5f7,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_763bec8f103de2ce2d39da5cea02c5f7,D014,True,DERMNET_KAGGLE_b1a18763aad913272ac6,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_b1a18763aad913272ac6,,False,False,2,True,True,False,True
DUPLICATE_1eb610ca95e1bc2f9100,perceptual,FITZPATRICK17K_C_763bec8f103de2ce2d39da5cea02c5f7,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_763bec8f103de2ce2d39da5cea02c5f7,D014,True,DERMNET_KAGGLE_d3787930a8010c5d7d30,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_d3787930a8010c5d7d30,,False,False,2,True,True,False,True
DUPLICATE_3801f2a12bab4d0a0462,perceptual,FITZPATRICK17K_C_dc1f6fcde89ccc42d9561dbc972941b2,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_dc1f6fcde89ccc42d9561dbc972941b2,D013,True,DERMNET_KAGGLE_27acd92d7ace6d62293a,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_27acd92d7ace6d62293a,,False,False,0,True,True,False,True
DUPLICATE_409373b99c714f68d6c5,perceptual,FITZPATRICK17K_C_c38a9634e05757107d4129bc31111f89,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_c38a9634e05757107d4129bc31111f89,D003,True,DERMNET_KAGGLE_0b4d8bb44ac76cd8cd34,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_0b4d8bb44ac76cd8cd34,,False,False,4,True,True,False,True
DUPLICATE_409373b99c714f68d6c5,perceptual,FITZPATRICK17K_C_c38a9634e05757107d4129bc31111f89,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_c38a9634e05757107d4129bc31111f89,D003,True,DERMNET_KAGGLE_b36cf2e2872b48f5a859,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_b36cf2e2872b48f5a859,,False,False,2,True,True,False,True
DUPLICATE_7d9307e1c230c03b92a2,perceptual,FITZPATRICK17K_C_ecadfe94dd45dad4474e60a4cb0f91a3,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_ecadfe94dd45dad4474e60a4cb0f91a3,,False,DERMNET_KAGGLE_2a3e5c8fa72c5f9278d3,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_2a3e5c8fa72c5f9278d3,,False,False,0,True,True,False,True
DUPLICATE_7d9307e1c230c03b92a2,perceptual,FITZPATRICK17K_C_ecadfe94dd45dad4474e60a4cb0f91a3,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_ecadfe94dd45dad4474e60a4cb0f91a3,,False,DERMNET_KAGGLE_4eb72c390356ec2a1253,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_4eb72c390356ec2a1253,,False,False,0,True,True,False,True
DUPLICATE_a2de4f68f4c34f2711ef,perceptual,FITZPATRICK17K_C_84bdc5f7f29645f1afb1fa5bd1f3fd86,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_84bdc5f7f29645f1afb1fa5bd1f3fd86,D009,True,DERMNET_KAGGLE_eddc9dd5c69217f5e129,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_eddc9dd5c69217f5e129,,False,False,0,True,True,False,True
DUPLICATE_da442f1cc86f2bc0a3fb,perceptual,FITZPATRICK17K_C_45321a9a4b3fa9f5f4a132f87d63e9df,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_45321a9a4b3fa9f5f4a132f87d63e9df,,False,DERMNET_KAGGLE_7ab02de1f0979f78508c,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_7ab02de1f0979f78508c,,False,False,0,True,True,False,True
DUPLICATE_a31a41a7ba400cdfc083,perceptual,FITZPATRICK17K_C_697f866d7be02143ad7b8a17e521bbcf,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_697f866d7be02143ad7b8a17e521bbcf,,False,DERMNET_KAGGLE_f14aec15624efb1725b1,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_f14aec15624efb1725b1,,False,False,2,True,True,False,True
DUPLICATE_8d1037f3cfc3dbb3488d,perceptual,FITZPATRICK17K_C_c8f2bae4a66a6efd22da431e3f54f441,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_c8f2bae4a66a6efd22da431e3f54f441,,False,DERMNET_KAGGLE_fcbcf3b2d8db919cfcec,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_fcbcf3b2d8db919cfcec,,False,False,0,True,True,False,True
DUPLICATE_237290a87afba57babaf,perceptual,FITZPATRICK17K_C_abf8662ae84390242bafecaa324d02b2,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_abf8662ae84390242bafecaa324d02b2,D005,True,DERMNET_KAGGLE_ab09b6c811207cc4bdec,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_ab09b6c811207cc4bdec,,False,False,0,True,True,False,True
DUPLICATE_fbc7a71dbf9931f3c888,perceptual,FITZPATRICK17K_C_7ce754f03f84fd070e60a316ef4a9b5e,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_7ce754f03f84fd070e60a316ef4a9b5e,D016,True,FITZPATRICK17K_C_f86cb4a75683abae76cefa622123f5f1,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_f86cb4a75683abae76cefa622123f5f1,D016,True,False,0,False,True,True,True
DUPLICATE_20d30cadd4cbe08a389f,perceptual,FITZPATRICK17K_C_9f00c30cabcdd7d1b87b7f534ba4d3a8,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9f00c30cabcdd7d1b87b7f534ba4d3a8,,False,DERMNET_KAGGLE_165afad42f0950d95325,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_165afad42f0950d95325,,False,False,0,True,True,False,True
DUPLICATE_20d30cadd4cbe08a389f,perceptual,FITZPATRICK17K_C_9f00c30cabcdd7d1b87b7f534ba4d3a8,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9f00c30cabcdd7d1b87b7f534ba4d3a8,,False,DERMNET_KAGGLE_14075cf07b2d6472162b,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_14075cf07b2d6472162b,,False,False,0,True,True,False,True
DUPLICATE_65ce104c846636bfc413,perceptual,FITZPATRICK17K_C_b5bcb06aefd80d36098e7155d0af642b,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_b5bcb06aefd80d36098e7155d0af642b,D003,True,DERMNET_KAGGLE_af7b4e53bb386a8b9ad1,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_af7b4e53bb386a8b9ad1,,False,False,0,True,True,False,True
DUPLICATE_93d48dfbc6419541c622,perceptual,FITZPATRICK17K_C_ee81455236d0c12b5fd9657441ea3f08,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_ee81455236d0c12b5fd9657441ea3f08,,False,DERMNET_KAGGLE_0ad9cb9868748472728b,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_0ad9cb9868748472728b,,False,False,0,True,True,False,True
DUPLICATE_51c31c3c703206528e89,perceptual,FITZPATRICK17K_C_42bee885815df9d02ef9fb62649b14ec,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_42bee885815df9d02ef9fb62649b14ec,,False,DERMNET_KAGGLE_19b4e09ab9e3afced030,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_19b4e09ab9e3afced030,,False,False,2,True,True,False,True
DUPLICATE_11e28534d88bf72a2ebe,perceptual,FITZPATRICK17K_C_ada500a88d68a997ed3804382208cc0b,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_ada500a88d68a997ed3804382208cc0b,,False,DERMNET_KAGGLE_8275c9b2baf24af5f59c,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_8275c9b2baf24af5f59c,,False,False,2,True,True,False,True
DUPLICATE_a791acde61f4b95b78f5,perceptual,FITZPATRICK17K_C_3be7f195269f4cb0a7d2528223971f44,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_3be7f195269f4cb0a7d2528223971f44,D007,True,DERMNET_KAGGLE_ded55ada4e735d140c06,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_ded55ada4e735d140c06,,False,False,0,True,True,False,True
DUPLICATE_967a6ee9b71fa4d1d573,perceptual,FITZPATRICK17K_C_26108459f12d77128a1d28cc21e3550a,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_26108459f12d77128a1d28cc21e3550a,D005,True,DERMNET_KAGGLE_5c19166631f71d7cdd0b,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_5c19166631f71d7cdd0b,,False,False,0,True,True,False,True
DUPLICATE_a655cdea80b7da4e8d0a,perceptual,FITZPATRICK17K_C_9a5f998ab51a9b43f16b21b25aaf96a8,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9a5f998ab51a9b43f16b21b25aaf96a8,D004,True,DERMNET_KAGGLE_455ec573d73f749ee655,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_455ec573d73f749ee655,,False,False,2,True,True,False,True
DUPLICATE_ea7daad8394fec2e036f,perceptual,FITZPATRICK17K_C_bb4b81539322373a7c18690bbb2a7db9,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_bb4b81539322373a7c18690bbb2a7db9,,False,DERMNET_KAGGLE_981430ce504240215c1d,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_981430ce504240215c1d,,False,False,0,True,True,False,True
DUPLICATE_34609030999b538628f1,perceptual,FITZPATRICK17K_C_9b54e9d00d583439691b8aaa8cd1c668,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9b54e9d00d583439691b8aaa8cd1c668,,False,DERMNET_KAGGLE_d8f2b0709f4bb2fde09b,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_d8f2b0709f4bb2fde09b,,False,False,2,True,True,False,True
DUPLICATE_9d313dc4134865151806,perceptual,FITZPATRICK17K_C_b19ba4bd6156a03456a44fa842e366fa,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_b19ba4bd6156a03456a44fa842e366fa,D009,True,DERMNET_KAGGLE_67621a219b2661d7ff31,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_67621a219b2661d7ff31,,False,False,2,True,True,False,True
DUPLICATE_68ccf8e6091f2616ae1a,perceptual,FITZPATRICK17K_C_75c3e10a201c1049eeb0ce06401e5e24,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_75c3e10a201c1049eeb0ce06401e5e24,,False,DERMNET_KAGGLE_071f0bf54c3b3b922836,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_071f0bf54c3b3b922836,,False,False,0,True,True,False,True
DUPLICATE_4431cb92cf16c6000f55,perceptual,FITZPATRICK17K_C_a41800186406d09ff17772f3589e2ae7,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_a41800186406d09ff17772f3589e2ae7,D007,True,DERMNET_KAGGLE_60ab8ac09ec471a9ad55,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_60ab8ac09ec471a9ad55,,False,False,0,True,True,False,True
DUPLICATE_93582ac8a2983b2b6ede,perceptual,FITZPATRICK17K_C_e99ddec084788beb943120624392b943,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_e99ddec084788beb943120624392b943,,False,DERMNET_KAGGLE_0ed48a7fdae8ff844f8a,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_0ed48a7fdae8ff844f8a,,False,False,2,True,True,False,True
DUPLICATE_6296df1f5f69618ac568,perceptual,FITZPATRICK17K_C_9d85c442ec9293c04423c8938cb36cad,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9d85c442ec9293c04423c8938cb36cad,,False,FITZPATRICK17K_C_038bef65a35607654255861dc633e796,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_038bef65a35607654255861dc633e796,,False,False,2,False,True,False,True
DUPLICATE_af019e1863638a3efcf1,perceptual,FITZPATRICK17K_C_dede5e8245327b7be6b3eb3e9c9bfa51,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_dede5e8245327b7be6b3eb3e9c9bfa51,D016,True,DERMNET_KAGGLE_a8c0ac8eca075924d70e,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_a8c0ac8eca075924d70e,,False,False,2,True,True,False,True
DUPLICATE_c21a2f98b395ee8d3d5e,perceptual,FITZPATRICK17K_C_e7ecb18c1a03a96826c0d124744da08f,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_e7ecb18c1a03a96826c0d124744da08f,,False,DERMNET_KAGGLE_a85e848fef13329aa40c,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_a85e848fef13329aa40c,,False,False,2,True,True,False,True
DUPLICATE_c21a2f98b395ee8d3d5e,perceptual,FITZPATRICK17K_C_e7ecb18c1a03a96826c0d124744da08f,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_e7ecb18c1a03a96826c0d124744da08f,,False,DERMNET_KAGGLE_feac523f3fa5ab681f56,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_feac523f3fa5ab681f56,,False,False,2,True,True,False,True
DUPLICATE_e51e8d7319cfc4065ae9,perceptual,FITZPATRICK17K_C_5c4f07cadd546134cda4f326de4f39ab,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_5c4f07cadd546134cda4f326de4f39ab,D005,True,DERMNET_KAGGLE_01af63874837c149c548,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_01af63874837c149c548,,False,False,0,True,True,False,True
DUPLICATE_47fb0b5a977c8bd93a4e,perceptual,FITZPATRICK17K_C_713106db09569840f65e3d40238c5043,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_713106db09569840f65e3d40238c5043,D003,True,DERMNET_KAGGLE_9bce2337543464dc2616,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_9bce2337543464dc2616,,False,False,0,True,True,False,True
DUPLICATE_d71987c2e61fd16932c6,perceptual,FITZPATRICK17K_C_cb3b1adbfffe5ee1ed9c135c0ff7325b,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_cb3b1adbfffe5ee1ed9c135c0ff7325b,D007,True,DERMNET_KAGGLE_f7959d00493e51829c9b,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_f7959d00493e51829c9b,,False,False,0,True,True,False,True
DUPLICATE_2acd5e5d11cb08f500d8,perceptual,FITZPATRICK17K_C_6709a9b094f7f1ade39242ffc5d5346f,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_6709a9b094f7f1ade39242ffc5d5346f,D014,True,DERMNET_KAGGLE_ea73c9e67112ec1623e5,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_ea73c9e67112ec1623e5,,False,False,0,True,True,False,True
DUPLICATE_a6f6bb4e062967d13f95,perceptual,FITZPATRICK17K_C_9bc01747de8df68dd22eab215fc2d6ce,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_9bc01747de8df68dd22eab215fc2d6ce,,False,DERMNET_KAGGLE_289105daaa8dc1f47a37,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_289105daaa8dc1f47a37,,False,False,0,True,True,False,True
DUPLICATE_6e7c336c3b3389eb17af,perceptual,FITZPATRICK17K_C_38a9751170449533b0983421e03e5afe,fitzpatrick17k_c,FITZPATRICK17K_C_IMAGE_38a9751170449533b0983421e03e5afe,,False,DERMNET_KAGGLE_976d9d5edda8f37b085a,dermnet_kaggle,DERMNET_KAGGLE_IMAGE_976d9d5edda8f37b085a,,False,False,0,True,True,False,True
