duplicate_group_id,duplicate_match_type,sample_count,source_group_count,leakage_group_count,dataset_count,dataset_ids,disease_ids,included_before_count,included_after_count,cross_dataset,label_conflict,requires_review
DUPLICATE_e1dedc980abe5e6a33b5,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3269284b23576983aa17,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_c6a78940519ab8cc91ce,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_ca972b0fb35d713dc095,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_711486a4d5177f5e8042,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_e86666fc0ac183c7c047,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_dd2a200b55a2ed820e1d,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_e4ef1f4915aed20fa53d,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_0911652a7a9ddd3e451f,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_4cf89f1d5eec3f601052,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_a6f366e35cf074ddfede,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D017,1,1,True,False,True
DUPLICATE_bc25c72f69979156b988,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D011,1,1,True,False,True
DUPLICATE_1c01d7a79a01e6269a9b,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_cde60db774518035cb37,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,2,2,True,False,True
DUPLICATE_d96da1d3fd8e49f3f407,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_878433a9894db4089aaf,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_0d7c00dbfa58a86e8190,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_5d1823d94135c6f47e7d,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a0db36cab618319d1907,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_bdee59845a59bedd089c,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_0b3082578d31b672507e,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_ae325c31621c0cd4bed1,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_861d6aed3eadebfcdad8,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_b6d69d7e5050ad8fe071,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_f0f758883a61bcd45871,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_704dd52e2742742b7e09,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_d0e0a757dcdd9a825224,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_10929d9f145de5327464,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9618b6fdc82c747b9004,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_902b649c4e0fd5271014,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D013,1,1,True,False,True
DUPLICATE_1e8e1eb906c7771b218e,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_01fb46957feddcad5100,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_c78f43e73e0a9d8d30d0,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_832fa0571bdccd609b84,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_d998b04fc514f13cf69f,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_a0f29943b780051b49d8,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_b0bc81035a05edb8ddb4,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_442fcc86924c27f8a465,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_590343a57647e5fbd2e2,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_10f6baa98c907eaebbd7,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D001,1,1,True,False,True
DUPLICATE_559fbf054eef4c82c900,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_dbf4901605c0843f7c8b,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_1d2adbc681fe2efb7007,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_8ff18d519ebc2a411660,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bbd25b56cbb4f34f9a56,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_35be5cf595712829049d,perceptual,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_468dcdb62ca69d62bf92,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_91c91ea418eb5114916c,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_bf50a4a2b343906ab466,mixed,3,3,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_ee064502b6bfd1551e58,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_443527a1215fab0b9e42,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_94dcce66207c6a704ec2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_a5025cc69c664c2cd1fc,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D001,1,1,True,False,True
DUPLICATE_bd52cd7c29d895498a89,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a6e6197b68e632356c55,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_4879469f50ba60bf747c,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bf3e6c3d45b91c4ecc51,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_34457bf79b10554b974e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_b3cf4576362ccef31f10,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_f99670a27bca538fbc56,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_1d8530616cf164ade67d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_8c41710747084071674f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_eb59bbb56bb840de18b0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_93ae10562d4bcf2138d1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_959f96d3fc0ad95f0263,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_4a36d219e33590fd7f7a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_d5163ddc5ba13eb0d92b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3801f2a12bab4d0a0462,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D013,1,1,True,False,True
DUPLICATE_a2de4f68f4c34f2711ef,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_da442f1cc86f2bc0a3fb,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a31a41a7ba400cdfc083,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_8d1037f3cfc3dbb3488d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_237290a87afba57babaf,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_65ce104c846636bfc413,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_93d48dfbc6419541c622,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_51c31c3c703206528e89,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_11e28534d88bf72a2ebe,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a791acde61f4b95b78f5,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_967a6ee9b71fa4d1d573,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_a655cdea80b7da4e8d0a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_ea7daad8394fec2e036f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_34609030999b538628f1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9d313dc4134865151806,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_68ccf8e6091f2616ae1a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4431cb92cf16c6000f55,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_93582ac8a2983b2b6ede,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_af019e1863638a3efcf1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_e51e8d7319cfc4065ae9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_47fb0b5a977c8bd93a4e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_d71987c2e61fd16932c6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_2acd5e5d11cb08f500d8,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_a6f6bb4e062967d13f95,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_6e7c336c3b3389eb17af,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2c49632525ac145803a8,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_1aa88ac8189c8de1d227,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_991f8b106e1d9e31d553,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_1eebd8e3cf152ac66084,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_78e49a18e89caa78c86c,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D025,1,1,True,False,True
DUPLICATE_db804fe9a250970c0eb6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_c7309bd0c4ba53e65044,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4732124f73198c307cc2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_de256df59f5a18ec63e5,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_76eecae8426532f08b6a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_d0f580b1db850f77b6de,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_38f6b711ecb9d4680869,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_1f50b4b309ec149b20d9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_dfc8476e9f64bbcf8e98,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9debb2025cb1fa1298f6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_1c8c292d5093c4399244,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_3ef9f515e779ef16caf5,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_0f8c4e413007fc05b3c9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_1ac0a3130774bc48e7d2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_75972dfab9c60588bbdc,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_d4de8c87f6ab2130118f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_706f465ba00b748399f6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D017,1,1,True,False,True
DUPLICATE_a40356377c0dc53d984c,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a0faebb40ffb4b606445,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_5aa83bdcb6c9588b7f77,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_cb4b2420af51517b2012,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_d3c0a266aa1215bd00bc,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_0f8f0a8f3400f657493d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_7db828aae3cc035442fe,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_20be2c9ab0d274264bd0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_0ead7bdeb306b0f47071,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_b046709d33f151b37d29,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_500b3596fd04694e2ab5,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_781dfe6a11326567a051,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_ebb18c1eb3b492cf41b8,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_fc78fa19cae5b880e335,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_31e0e14d68cd1357c26a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_5e14d55fb1a108c8b6f0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_27b0bc3b623b5cd993b0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_6bbe825ed635bd9ca611,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_61be24583f40ecd1412d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_365efc5a569b7c8cb641,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_771b4644e02ff6654c29,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_b8e6f68c548fbc93aa40,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_cf584004922c1a07b81d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_e3c2be007b922312936b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_6a8ccb134bb0fcbb03dc,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_9318341e0609100e2e92,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_efce54eabd02aa62382e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_1eeb4d2ab9567163ffa1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_0a8141f6ffafafa4df53,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_c3665d479d132ab8ace5,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bb86176d95b694fe962d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_50852438e5be2b5bb502,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_59af6aac852eb715233f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_278026cd3ea6c5ffbe88,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_1f1c63e4767e630d4316,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
