canonical_source_label,benchmark_disease_id,mapping_status,dataset_id,primary_group_count,primary_image_count,any_reference_group_count,any_reference_image_count,source_label_count
prurigo,,out_of_benchmark_scope,all_sources,2,4,4,8,1
rheumatoid_nodule,,out_of_benchmark_scope,all_sources,2,5,2,5,1
scar,,out_of_benchmark_scope,all_sources,2,2,2,2,1
skin_and_soft_tissue_atypical_mycobacterial_infection,,out_of_benchmark_scope,all_sources,2,6,25,61,1
syphilis,,out_of_benchmark_scope,all_sources,2,3,32,70,1
syringocystadenoma_papilliferum,,out_of_benchmark_scope,all_sources,2,2,2,2,1
trichofolliculoma,,out_of_benchmark_scope,all_sources,2,2,2,2,1
venous_stasis_ulcer,,out_of_benchmark_scope,all_sources,2,4,2,4,1
xanthogranuloma,,out_of_benchmark_scope,all_sources,2,2,2,2,1
abrasion_and_or_friction_burn_of_thigh_without_infection,,out_of_benchmark_scope,all_sources,1,3,1,3,1
acne_cystic,,out_of_benchmark_scope,all_sources,1,1,1,1,1
acne_keloidalis,,out_of_benchmark_scope,all_sources,1,3,2,6,1
acne_urticata,,out_of_benchmark_scope,all_sources,1,2,1,2,1
acral_melanotic_macule,,out_of_benchmark_scope,all_sources,1,1,1,1,1
actinic_granuloma,,out_of_benchmark_scope,all_sources,1,3,2,4,1
acute_dermatitis,,out_of_benchmark_scope,all_sources,1,3,1,3,1
acute_on_chronic_dyshidrotic_eczema_of_hands,,out_of_benchmark_scope,all_sources,1,3,1,3,1
acute_vesicular_dermatitis,,out_of_benchmark_scope,all_sources,1,2,1,2,1
adnexal_neoplasm,,out_of_benchmark_scope,all_sources,1,3,4,10,1
agminate_folliculitis,,out_of_benchmark_scope,all_sources,1,3,1,3,1
allergic_contact_dermatitis_caused_by_allergenic_hapten_derived_from_plant,,out_of_benchmark_scope,all_sources,1,3,1,3,1
angioleiomyoma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
arsenical_keratosis,,out_of_benchmark_scope,all_sources,1,2,1,2,1
atypical_spindle_cell_nevus_of_reed,,out_of_benchmark_scope,all_sources,1,1,1,1,1
b_cell_cutaneous_lymphoma,,out_of_benchmark_scope,all_sources,1,2,3,6,1
berloque_dermatitis,,out_of_benchmark_scope,all_sources,1,3,1,3,1
blastic_plasmacytoid_dendritic_cell_neoplasm,,out_of_benchmark_scope,all_sources,1,1,1,1,1
blister,,out_of_benchmark_scope,all_sources,1,3,3,8,1
burn_of_forearm,,out_of_benchmark_scope,all_sources,1,2,1,2,1
candida,,out_of_benchmark_scope,all_sources,1,3,4,9,1
cellular_neurothekeoma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
chicken_pox_exanthem,,out_of_benchmark_scope,all_sources,1,1,2,4,1
chondroid_syringoma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
clear_cell_acanthoma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
coccidioidomycosis,,out_of_benchmark_scope,all_sources,1,1,1,1,1
condyloma_acuminatum,,out_of_benchmark_scope,all_sources,1,3,4,12,1
contact_dermatitis_caused_by_rhus_diversiloba,,out_of_benchmark_scope,all_sources,1,3,3,5,1
contact_dermatitis_nos,,out_of_benchmark_scope,all_sources,1,3,10,24,1
cutaneous_metastasis,,out_of_benchmark_scope,all_sources,1,3,2,4,1
diffuse_xanthoma,,out_of_benchmark_scope,all_sources,1,2,1,2,1
ecthyma_gangrenosum,,out_of_benchmark_scope,all_sources,1,1,1,1,1
elephantiasis_nostras,,out_of_benchmark_scope,all_sources,1,1,1,1,1
erosion_of_skin,,out_of_benchmark_scope,all_sources,1,3,1,3,1
eruptive_odontogenic_cyst,,out_of_benchmark_scope,all_sources,1,3,2,4,1
eruptive_xanthoma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
erythema_dyschromicum_perstans,,out_of_benchmark_scope,all_sources,1,2,2,5,1
erythema_migrans,,out_of_benchmark_scope,all_sources,1,3,11,25,1
focal_acral_hyperkeratosis,,out_of_benchmark_scope,all_sources,1,1,1,1,1
foreign_body_reaction_of_the_skin,,out_of_benchmark_scope,all_sources,1,3,3,8,1
fox_fordyce_disease,,out_of_benchmark_scope,all_sources,1,3,2,6,1
fungal_dermatitis,,out_of_benchmark_scope,all_sources,1,1,2,4,1
fungal_dermatosis,,out_of_benchmark_scope,all_sources,1,3,3,6,1
glomangioma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
hematoma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
hemosiderin_pigmentation_of_lower_limb_due_to_varicose_veins_of_lower_limb,,out_of_benchmark_scope,all_sources,1,3,1,3,1
hemosiderin_pigmentation_of_skin_due_to_venous_insufficiency,,out_of_benchmark_scope,all_sources,1,3,2,6,1
histiocytosis_of_skin,,out_of_benchmark_scope,all_sources,1,3,1,3,1
hk_hyperkeratosis,,out_of_benchmark_scope,all_sources,1,3,4,10,1
hyperlinear_palm,,out_of_benchmark_scope,all_sources,1,3,1,3,1
ichthyosis,,out_of_benchmark_scope,all_sources,1,2,6,10,1
infection_of_skin,,out_of_benchmark_scope,all_sources,1,2,2,3,1
inflammatory_dermatosis,,out_of_benchmark_scope,all_sources,1,3,3,7,1
jessner_lymphocytic_infiltrate,,out_of_benchmark_scope,all_sources,1,1,1,1,1
keratoderma,,out_of_benchmark_scope,all_sources,1,3,6,16,1
keratolysis_exfoliativa,,out_of_benchmark_scope,all_sources,1,1,1,1,1
knuckle_pads,,out_of_benchmark_scope,all_sources,1,1,1,1,1
leukemia_cutis,,out_of_benchmark_scope,all_sources,1,1,3,5,2
leukonychia,,out_of_benchmark_scope,all_sources,1,1,1,1,1
lichen_sclerosus,,out_of_benchmark_scope,all_sources,1,2,3,6,1
lichenified_eczema,,out_of_benchmark_scope,all_sources,1,1,1,1,1
lichenoid_keratosis,,out_of_benchmark_scope,all_sources,1,1,1,1,1
local_infection_of_wound,,out_of_benchmark_scope,all_sources,1,3,1,3,1
localised_cutaneous_vasculitis,,out_of_benchmark_scope,all_sources,1,3,1,3,1
localized_skin_infection,,out_of_benchmark_scope,all_sources,1,1,11,27,1
lymphocytic_infiltrations,,out_of_benchmark_scope,all_sources,1,1,1,1,1
majocchi_granuloma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
melanin_pigmentation_due_to_exogenous_substance,,out_of_benchmark_scope,all_sources,1,2,1,2,1
morbilliform_eruption,,out_of_benchmark_scope,all_sources,1,1,1,1,1
morphea,,out_of_benchmark_scope,all_sources,1,1,1,1,1
nail_dystrophy,,out_of_benchmark_scope,all_sources,1,2,2,3,1
neuroma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
nodular_melanoma_nm,,out_of_benchmark_scope,all_sources,1,1,1,1,1
o_e_vesicles_present,,out_of_benchmark_scope,all_sources,1,1,1,1,1
on_examination_follicular_pustules,,out_of_benchmark_scope,all_sources,1,3,1,3,1
onychodystrophy,,out_of_benchmark_scope,all_sources,1,3,2,5,1
pathergy,,out_of_benchmark_scope,all_sources,1,3,1,3,1
pemphigus_vulgaris,,out_of_benchmark_scope,all_sources,1,3,3,8,1
petechiae,,out_of_benchmark_scope,all_sources,1,2,2,5,1
photocontact_dermatitis_berloque_dermatitis,,out_of_benchmark_scope,all_sources,1,3,1,3,1
phytophotodermatitis,,out_of_benchmark_scope,all_sources,1,3,4,11,1
pigmented_spindle_cell_nevus_of_reed,,out_of_benchmark_scope,all_sources,1,1,1,1,1
pincer_nail_deformity,,out_of_benchmark_scope,all_sources,1,2,1,2,1
poikiloderma,,out_of_benchmark_scope,all_sources,1,3,1,3,1
poisoning_by_nematocyst,,out_of_benchmark_scope,all_sources,1,1,1,1,1
post_inflammatory_hypopigmentation,,out_of_benchmark_scope,all_sources,1,3,6,16,1
pressure_ulcer,,out_of_benchmark_scope,all_sources,1,1,1,1,1
pyoderma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
reactive_lymphoid_hyperplasia,,out_of_benchmark_scope,all_sources,1,1,1,1,1
relapsing_polychondritis,,out_of_benchmark_scope,all_sources,1,3,1,3,1
sebaceous_carcinoma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
skin_lesion_in_drug_addict,,out_of_benchmark_scope,all_sources,1,3,3,7,1
skin_ulcer,,out_of_benchmark_scope,all_sources,1,1,2,4,1
subcutaneous_t_cell_lymphoma,,out_of_benchmark_scope,all_sources,1,1,1,1,1
sunburn,,out_of_benchmark_scope,all_sources,1,3,6,14,1
sweet_syndrome,,out_of_benchmark_scope,all_sources,1,3,5,13,1
